"","","","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]"
"Rwanda [RWA]","Population totale [511]","Population-Estimations [3010]","1000 No","13355.26","Ciffre de sources internationales [X]","","1000 No","13651.03","Ciffre de sources internationales [X]","","1000 No","13954.471","Ciffre de sources internationales [X]",""
"République arabe syrienne [SYR]","Population totale [511]","Population-Estimations [3010]","1000 No","21628.839","Ciffre de sources internationales [X]","","1000 No","22462.173","Ciffre de sources internationales [X]","","1000 No","23594.623","Ciffre de sources internationales [X]",""
"République centrafricaine [CAF]","Population totale [511]","Population-Estimations [3010]","1000 No","5112.1","Ciffre de sources internationales [X]","","1000 No","5098.039","Ciffre de sources internationales [X]","","1000 No","5152.421","Ciffre de sources internationales [X]",""
"République de Corée [KOR]","Population totale [511]","Population-Estimations [3010]","1000 No","51848.397","Ciffre de sources internationales [X]","","1000 No","51782.512","Ciffre de sources internationales [X]","","1000 No","51748.739","Ciffre de sources internationales [X]",""
"République de Moldova [MDA]","Population totale [511]","Population-Estimations [3010]","1000 No","3023.778","Ciffre de sources internationales [X]","","1000 No","3039.985","Ciffre de sources internationales [X]","","1000 No","3067.07","Ciffre de sources internationales [X]",""
"République dominicaine [DOM]","Population totale [511]","Population-Estimations [3010]","1000 No","11123.476","Ciffre de sources internationales [X]","","1000 No","11230.734","Ciffre de sources internationales [X]","","1000 No","11331.265","Ciffre de sources internationales [X]",""
"République démocratique du Congo [COD]","Population totale [511]","Population-Estimations [3010]","1000 No","99148.932","Ciffre de sources internationales [X]","","1000 No","102396.968","Ciffre de sources internationales [X]","","1000 No","105789.731","Ciffre de sources internationales [X]",""
"République démocratique populaire lao [LAO]","Population totale [511]","Population-Estimations [3010]","1000 No","7453.194","Ciffre de sources internationales [X]","","1000 No","7559.007","Ciffre de sources internationales [X]","","1000 No","7664.993","Ciffre de sources internationales [X]",""
"République populaire démocratique de Corée [PRK]","Population totale [511]","Population-Estimations [3010]","1000 No","26232.534","Ciffre de sources internationales [X]","","1000 No","26328.845","Ciffre de sources internationales [X]","","1000 No","26418.204","Ciffre de sources internationales [X]",""
"République-Unie de Tanzanie [TZA]","Population totale [511]","Population-Estimations [3010]","1000 No","62830.412","Ciffre de sources internationales [X]","","1000 No","64711.821","Ciffre de sources internationales [X]","","1000 No","66617.606","Ciffre de sources internationales [X]",""
"Réunion [REU]","Population totale [511]","Population-Estimations [3010]","1000 No","868.079","Ciffre de sources internationales [X]","","1000 No","871.54","Ciffre de sources internationales [X]","","1000 No","874.883","Ciffre de sources internationales [X]",""
"Sahara occidental [ESH]","Population totale [511]","Population-Estimations [3010]","1000 No","558.619","Ciffre de sources internationales [X]","","1000 No","568.739","Ciffre de sources internationales [X]","","1000 No","579.729","Ciffre de sources internationales [X]",""
"Saint-Barthélemy [BLM]","Population totale [511]","Population-Estimations [3010]","1000 No","10.764","Ciffre de sources internationales [X]","","1000 No","10.92","Ciffre de sources internationales [X]","","1000 No","11.085","Ciffre de sources internationales [X]",""
"Saint-Kitts-et-Nevis [KNA]","Population totale [511]","Population-Estimations [3010]","1000 No","46.763","Ciffre de sources internationales [X]","","1000 No","46.709","Ciffre de sources internationales [X]","","1000 No","46.758","Ciffre de sources internationales [X]",""
"Saint-Marin [SMR]","Population totale [511]","Population-Estimations [3010]","1000 No","34.572","Ciffre de sources internationales [X]","","1000 No","34.09","Ciffre de sources internationales [X]","","1000 No","33.733","Ciffre de sources internationales [X]",""
"Saint-Martin (partie française) [MAF]","Population totale [511]","Population-Estimations [3010]","1000 No","29.961","Ciffre de sources internationales [X]","","1000 No","28.87","Ciffre de sources internationales [X]","","1000 No","27.515","Ciffre de sources internationales [X]",""
"Saint-Pierre-et-Miquelon [SPM]","Population totale [511]","Population-Estimations [3010]","1000 No","5.779","Ciffre de sources internationales [X]","","1000 No","5.732","Ciffre de sources internationales [X]","","1000 No","5.681","Ciffre de sources internationales [X]",""
"Saint-Siège [VAT]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Saint-Vincent-et-les Grenadines [VCT]","Population totale [511]","Population-Estimations [3010]","1000 No","102.841","Ciffre de sources internationales [X]","","1000 No","102.046","Ciffre de sources internationales [X]","","1000 No","101.323","Ciffre de sources internationales [X]",""
"Sainte-Lucie [LCA]","Population totale [511]","Population-Estimations [3010]","1000 No","178.522","Ciffre de sources internationales [X]","","1000 No","178.781","Ciffre de sources internationales [X]","","1000 No","179.285","Ciffre de sources internationales [X]",""
"Samoa [WSM]","Population totale [511]","Population-Estimations [3010]","1000 No","213.779","Ciffre de sources internationales [X]","","1000 No","215.261","Ciffre de sources internationales [X]","","1000 No","216.663","Ciffre de sources internationales [X]",""
"Samoa américaines [ASM]","Population totale [511]","Population-Estimations [3010]","1000 No","49.225","Ciffre de sources internationales [X]","","1000 No","48.342","Ciffre de sources internationales [X]","","1000 No","47.521","Ciffre de sources internationales [X]",""
"Sao Tomé-et-Principe [STP]","Population totale [511]","Population-Estimations [3010]","1000 No","221.961","Ciffre de sources internationales [X]","","1000 No","226.305","Ciffre de sources internationales [X]","","1000 No","230.871","Ciffre de sources internationales [X]",""
"Serbie [SRB]","Population totale [511]","Population-Estimations [3010]","1000 No","6835.43","Ciffre de sources internationales [X]","","1000 No","6791.213","Ciffre de sources internationales [X]","","1000 No","6773.201","Ciffre de sources internationales [X]",""
"Serbie-et-Monténégro [SCG]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Seychelles [SYC]","Population totale [511]","Population-Estimations [3010]","1000 No","122.987","Ciffre de sources internationales [X]","","1000 No","125.522","Ciffre de sources internationales [X]","","1000 No","127.951","Ciffre de sources internationales [X]",""
"Sierra Leone [SLE]","Population totale [511]","Population-Estimations [3010]","1000 No","8094.602","Ciffre de sources internationales [X]","","1000 No","8276.807","Ciffre de sources internationales [X]","","1000 No","8460.512","Ciffre de sources internationales [X]",""
"Singapour [SGP]","Population totale [511]","Population-Estimations [3010]","1000 No","5546.29","Ciffre de sources internationales [X]","","1000 No","5649.885","Ciffre de sources internationales [X]","","1000 No","5789.09","Ciffre de sources internationales [X]",""
"Sint Maarten (partie néerlandaise) [SXM]","Population totale [511]","Population-Estimations [3010]","1000 No","41.571","Ciffre de sources internationales [X]","","1000 No","42.139","Ciffre de sources internationales [X]","","1000 No","42.749","Ciffre de sources internationales [X]",""
"Slovaquie [SVK]","Population totale [511]","Population-Estimations [3010]","1000 No","5442.759","Ciffre de sources internationales [X]","","1000 No","5473.197","Ciffre de sources internationales [X]","","1000 No","5518.055","Ciffre de sources internationales [X]",""
"Slovénie [SVN]","Population totale [511]","Population-Estimations [3010]","1000 No","2113.494","Ciffre de sources internationales [X]","","1000 No","2115.228","Ciffre de sources internationales [X]","","1000 No","2118.396","Ciffre de sources internationales [X]",""
"Somalie [SOM]","Population totale [511]","Population-Estimations [3010]","1000 No","17271.431","Ciffre de sources internationales [X]","","1000 No","17801.897","Ciffre de sources internationales [X]","","1000 No","18358.615","Ciffre de sources internationales [X]",""
"Soudan (ex) [F206]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Soudan [SDN]","Population totale [511]","Population-Estimations [3010]","1000 No","48066.924","Ciffre de sources internationales [X]","","1000 No","49383.346","Ciffre de sources internationales [X]","","1000 No","50042.791","Ciffre de sources internationales [X]",""
"Soudan du Sud [SSD]","Population totale [511]","Population-Estimations [3010]","1000 No","10865.78","Ciffre de sources internationales [X]","","1000 No","11021.177","Ciffre de sources internationales [X]","","1000 No","11483.374","Ciffre de sources internationales [X]",""
"Sri Lanka [LKA]","Population totale [511]","Population-Estimations [3010]","1000 No","22700.372","Ciffre de sources internationales [X]","","1000 No","22834.965","Ciffre de sources internationales [X]","","1000 No","22971.617","Ciffre de sources internationales [X]",""
"Suisse [CHE]","Population totale [511]","Population-Estimations [3010]","1000 No","8707.023","Ciffre de sources internationales [X]","","1000 No","8792.182","Ciffre de sources internationales [X]","","1000 No","8870.561","Ciffre de sources internationales [X]",""
"Suriname [SUR]","Population totale [511]","Population-Estimations [3010]","1000 No","617.896","Ciffre de sources internationales [X]","","1000 No","623.164","Ciffre de sources internationales [X]","","1000 No","628.886","Ciffre de sources internationales [X]",""
"Suède [SWE]","Population totale [511]","Population-Estimations [3010]","1000 No","10416.131","Ciffre de sources internationales [X]","","1000 No","10487.338","Ciffre de sources internationales [X]","","1000 No","10551.494","Ciffre de sources internationales [X]",""
"Sénégal [SEN]","Population totale [511]","Population-Estimations [3010]","1000 No","17220.867","Ciffre de sources internationales [X]","","1000 No","17651.103","Ciffre de sources internationales [X]","","1000 No","18077.573","Ciffre de sources internationales [X]",""
"Tadjikistan [TJK]","Population totale [511]","Population-Estimations [3010]","1000 No","9966.908","Ciffre de sources internationales [X]","","1000 No","10182.222","Ciffre de sources internationales [X]","","1000 No","10389.799","Ciffre de sources internationales [X]",""
"Tchad [TCD]","Population totale [511]","Population-Estimations [3010]","1000 No","17828.273","Ciffre de sources internationales [X]","","1000 No","18455.316","Ciffre de sources internationales [X]","","1000 No","19319.064","Ciffre de sources internationales [X]",""
"Tchécoslovaq [F51]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Tchéquie [CZE]","Population totale [511]","Population-Estimations [3010]","1000 No","10530.683","Ciffre de sources internationales [X]","","1000 No","10673.213","Ciffre de sources internationales [X]","","1000 No","10809.716","Ciffre de sources internationales [X]",""
"Territoire des Îles du Pacifique [F164]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Thaïlande [THA]","Population totale [511]","Population-Estimations [3010]","1000 No","71727.332","Ciffre de sources internationales [X]","","1000 No","71735.329","Ciffre de sources internationales [X]","","1000 No","71702.435","Ciffre de sources internationales [X]",""
"Timor-Leste [TLS]","Population totale [511]","Population-Estimations [3010]","1000 No","1350.139","Ciffre de sources internationales [X]","","1000 No","1369.295","Ciffre de sources internationales [X]","","1000 No","1384.286","Ciffre de sources internationales [X]",""
"Togo [TGO]","Population totale [511]","Population-Estimations [3010]","1000 No","8878.379","Ciffre de sources internationales [X]","","1000 No","9089.738","Ciffre de sources internationales [X]","","1000 No","9304.337","Ciffre de sources internationales [X]",""
"Tokélaou [TKL]","Population totale [511]","Population-Estimations [3010]","1000 No","2.205","Ciffre de sources internationales [X]","","1000 No","2.29","Ciffre de sources internationales [X]","","1000 No","2.397","Ciffre de sources internationales [X]",""
"Tonga [TON]","Population totale [511]","Population-Estimations [3010]","1000 No","105.49","Ciffre de sources internationales [X]","","1000 No","105.042","Ciffre de sources internationales [X]","","1000 No","104.597","Ciffre de sources internationales [X]",""
"Trinité-et-Tobago [TTO]","Population totale [511]","Population-Estimations [3010]","1000 No","1487.717","Ciffre de sources internationales [X]","","1000 No","1495.921","Ciffre de sources internationales [X]","","1000 No","1502.932","Ciffre de sources internationales [X]",""
"Tunisie [TUN]","Population totale [511]","Population-Estimations [3010]","1000 No","12048.622","Ciffre de sources internationales [X]","","1000 No","12119.334","Ciffre de sources internationales [X]","","1000 No","12200.431","Ciffre de sources internationales [X]",""
"Turkménistan [TKM]","Population totale [511]","Population-Estimations [3010]","1000 No","7092.043","Ciffre de sources internationales [X]","","1000 No","7230.193","Ciffre de sources internationales [X]","","1000 No","7364.438","Ciffre de sources internationales [X]",""
"Tuvalu [TUV]","Population totale [511]","Population-Estimations [3010]","1000 No","10.194","Ciffre de sources internationales [X]","","1000 No","9.992","Ciffre de sources internationales [X]","","1000 No","9.816","Ciffre de sources internationales [X]",""
"Türkiye [TUR]","Population totale [511]","Population-Estimations [3010]","1000 No","86686.253","Ciffre de sources internationales [X]","","1000 No","87058.473","Ciffre de sources internationales [X]","","1000 No","87270.501","Ciffre de sources internationales [X]",""
"URSS [F228]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Ukraine [UKR]","Population totale [511]","Population-Estimations [3010]","1000 No","44298.64","Ciffre de sources internationales [X]","","1000 No","41048.766","Ciffre de sources internationales [X]","","1000 No","37732.836","Ciffre de sources internationales [X]",""
"Uruguay [URY]","Population totale [511]","Population-Estimations [3010]","1000 No","3396.695","Ciffre de sources internationales [X]","","1000 No","3390.913","Ciffre de sources internationales [X]","","1000 No","3388.081","Ciffre de sources internationales [X]",""
"Vanuatu [VUT]","Population totale [511]","Population-Estimations [3010]","1000 No","305.868","Ciffre de sources internationales [X]","","1000 No","313.046","Ciffre de sources internationales [X]","","1000 No","320.409","Ciffre de sources internationales [X]",""
"Venezuela (République bolivarienne du) [VEN]","Population totale [511]","Population-Estimations [3010]","1000 No","28237.826","Ciffre de sources internationales [X]","","1000 No","28213.017","Ciffre de sources internationales [X]","","1000 No","28300.854","Ciffre de sources internationales [X]",""
"Viet Nam [VNM]","Population totale [511]","Population-Estimations [3010]","1000 No","98935.098","Ciffre de sources internationales [X]","","1000 No","99680.655","Ciffre de sources internationales [X]","","1000 No","100352.192","Ciffre de sources internationales [X]",""
"Yémen [YEM]","Population totale [511]","Population-Estimations [3010]","1000 No","37140.23","Ciffre de sources internationales [X]","","1000 No","38222.876","Ciffre de sources internationales [X]","","1000 No","39390.799","Ciffre de sources internationales [X]",""
"Zambie [ZMB]","Population totale [511]","Population-Estimations [3010]","1000 No","19603.607","Ciffre de sources internationales [X]","","1000 No","20152.938","Ciffre de sources internationales [X]","","1000 No","20723.965","Ciffre de sources internationales [X]",""
"Zimbabwe [ZWE]","Population totale [511]","Population-Estimations [3010]","1000 No","15797.21","Ciffre de sources internationales [X]","","1000 No","16069.056","Ciffre de sources internationales [X]","","1000 No","16340.822","Ciffre de sources internationales [X]",""
"Égypte [EGY]","Population totale [511]","Population-Estimations [3010]","1000 No","110957.008","Ciffre de sources internationales [X]","","1000 No","112618.25","Ciffre de sources internationales [X]","","1000 No","114535.772","Ciffre de sources internationales [X]",""
"Émirats arabes unis [ARE]","Population totale [511]","Population-Estimations [3010]","1000 No","9789.048","Ciffre de sources internationales [X]","","1000 No","10242.086","Ciffre de sources internationales [X]","","1000 No","10642.081","Ciffre de sources internationales [X]",""
"Équateur [ECU]","Population totale [511]","Population-Estimations [3010]","1000 No","17682.454","Ciffre de sources internationales [X]","","1000 No","17823.897","Ciffre de sources internationales [X]","","1000 No","17980.083","Ciffre de sources internationales [X]",""
"Érythrée [ERI]","Population totale [511]","Population-Estimations [3010]","1000 No","3350.183","Ciffre de sources internationales [X]","","1000 No","3409.447","Ciffre de sources internationales [X]","","1000 No","3470.39","Ciffre de sources internationales [X]",""
"États-Unis d'Amérique [USA]","Population totale [511]","Population-Estimations [3010]","1000 No","340161.441","Ciffre de sources internationales [X]","","1000 No","341534.045","Ciffre de sources internationales [X]","","1000 No","343477.335","Ciffre de sources internationales [X]",""
"Éthiopie RDP [F62]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Éthiopie [ETH]","Population totale [511]","Population-Estimations [3010]","1000 No","122138.588","Ciffre de sources internationales [X]","","1000 No","125384.287","Ciffre de sources internationales [X]","","1000 No","128691.692","Ciffre de sources internationales [X]",""
"Île Norfolk [NFK]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Île de Man [IMN]","Population totale [511]","Population-Estimations [3010]","1000 No","84.106","Ciffre de sources internationales [X]","","1000 No","84.132","Ciffre de sources internationales [X]","","1000 No","84.165","Ciffre de sources internationales [X]",""
"Îles Anglo-Normandes [CHA]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Îles Caïmanes [CYM]","Population totale [511]","Population-Estimations [3010]","1000 No","70.108","Ciffre de sources internationales [X]","","1000 No","71.591","Ciffre de sources internationales [X]","","1000 No","73.038","Ciffre de sources internationales [X]",""
"Îles Cook [COK]","Population totale [511]","Population-Estimations [3010]","1000 No","15.182","Ciffre de sources internationales [X]","","1000 No","14.723","Ciffre de sources internationales [X]","","1000 No","14.222","Ciffre de sources internationales [X]",""
"Îles Falkland (Malvinas) [FLK]","Population totale [511]","Population-Estimations [3010]","1000 No","3.498","Ciffre de sources internationales [X]","","1000 No","3.49","Ciffre de sources internationales [X]","","1000 No","3.477","Ciffre de sources internationales [X]",""
"Îles Féroé [FRO]","Population totale [511]","Population-Estimations [3010]","1000 No","53.3","Ciffre de sources internationales [X]","","1000 No","54.011","Ciffre de sources internationales [X]","","1000 No","54.714","Ciffre de sources internationales [X]",""
"Îles Mariannes du Nord [MNP]","Population totale [511]","Population-Estimations [3010]","1000 No","46.979","Ciffre de sources internationales [X]","","1000 No","46.078","Ciffre de sources internationales [X]","","1000 No","45.143","Ciffre de sources internationales [X]",""
"Îles Marshall [MHL]","Population totale [511]","Population-Estimations [3010]","1000 No","41.367","Ciffre de sources internationales [X]","","1000 No","40.077","Ciffre de sources internationales [X]","","1000 No","38.827","Ciffre de sources internationales [X]",""
"Îles Salomon [SLB]","Population totale [511]","Population-Estimations [3010]","1000 No","762.591","Ciffre de sources internationales [X]","","1000 No","781.066","Ciffre de sources internationales [X]","","1000 No","800.005","Ciffre de sources internationales [X]",""
"Îles Svalbard-et-Jan Mayen [SJM]","Population totale [511]","Population-Estimations [3010]","","","","","","","","","","","",""
"Îles Turques-et-Caïques [TCA]","Population totale [511]","Population-Estimations [3010]","1000 No","45.243","Ciffre de sources internationales [X]","","1000 No","45.847","Ciffre de sources internationales [X]","","1000 No","46.198","Ciffre de sources internationales [X]",""
"Îles Vierges américaines [VIR]","Population totale [511]","Population-Estimations [3010]","1000 No","87.223","Ciffre de sources internationales [X]","","1000 No","86.507","Ciffre de sources internationales [X]","","1000 No","85.701","Ciffre de sources internationales [X]",""
"Îles Vierges britanniques [VGB]","Population totale [511]","Population-Estimations [3010]","1000 No","37.809","Ciffre de sources internationales [X]","","1000 No","38.319","Ciffre de sources internationales [X]","","1000 No","38.985","Ciffre de sources internationales [X]",""
"Îles Wallis-et-Futuna [WLF]","Population totale [511]","Population-Estimations [3010]","1000 No","11.568","Ciffre de sources internationales [X]","","1000 No","11.478","Ciffre de sources internationales [X]","","1000 No","11.37","Ciffre de sources internationales [X]",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
